bid;ask;tick;SpreadNominal;SpreadTick;Symbol;time;instrument
   36,35;   36,59;0,01;  0,24; 24;WTIJul20;2020-06-11T17:21:48Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:21:57Z;DO
  122,40;  122,90;0,05;  0,50; 10;GGALJun20;2020-06-11T17:21:57Z;GGAL
 1739,10; 1740,00;0,10;  0,90;  9;OROJul20;2020-06-11T17:21:57Z;ORO
60020,00;60135,00;5,00;115,00; 23;RFX20Jun20;2020-06-11T17:21:57Z;RFX20
   36,35;   36,59;0,01;  0,24; 24;WTIJul20;2020-06-11T17:21:57Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:22:05Z;DO
  122,60;  123,05;0,05;  0,45;  9;GGALJun20;2020-06-11T17:22:05Z;GGAL
 1738,70; 1740,00;0,10;  1,30; 13;OROJul20;2020-06-11T17:22:05Z;ORO
60020,00;60135,00;5,00;115,00; 23;RFX20Jun20;2020-06-11T17:22:05Z;RFX20
   36,35;   36,59;0,01;  0,24; 24;WTIJul20;2020-06-11T17:22:05Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:22:16Z;DO
  122,50;  123,05;0,05;  0,55; 11;GGALJun20;2020-06-11T17:22:16Z;GGAL
 1738,90; 1740,00;0,10;  1,10; 11;OROJul20;2020-06-11T17:22:16Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:22:16Z;RFX20
   36,35;   36,59;0,01;  0,24; 24;WTIJul20;2020-06-11T17:22:16Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:22:24Z;DO
  122,55;  123,05;0,05;  0,50; 10;GGALJun20;2020-06-11T17:22:24Z;GGAL
 1738,90; 1740,00;0,10;  1,10; 11;OROJul20;2020-06-11T17:22:24Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:22:24Z;RFX20
   36,35;   36,55;0,01;  0,20; 20;WTIJul20;2020-06-11T17:22:24Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:22:32Z;DO
  122,55;  123,05;0,05;  0,50; 10;GGALJun20;2020-06-11T17:22:32Z;GGAL
 1738,90; 1740,00;0,10;  1,10; 11;OROJul20;2020-06-11T17:22:32Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:22:32Z;RFX20
   36,35;   36,55;0,01;  0,20; 20;WTIJul20;2020-06-11T17:22:32Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:22:39Z;DO
  122,55;  123,05;0,05;  0,50; 10;GGALJun20;2020-06-11T17:22:39Z;GGAL
 1739,10; 1740,00;0,10;  0,90;  9;OROJul20;2020-06-11T17:22:39Z;ORO
60020,00;60100,00;5,00; 80,00; 16;RFX20Jun20;2020-06-11T17:22:39Z;RFX20
   36,35;   36,55;0,01;  0,20; 20;WTIJul20;2020-06-11T17:22:39Z;WTI
   70,43;   70,45;0,01;  0,02;  2;DOJun20A;2020-06-11T17:22:47Z;DO
  122,55;  123,05;0,05;  0,50; 10;GGALJun20;2020-06-11T17:22:47Z;GGAL
 1739,10; 1740,00;0,10;  0,90;  9;OROJul20;2020-06-11T17:22:47Z;ORO
